Sector,Year,Month,General index
Rural+Urban,2013,January,104.6
Rural+Urban,2013,February,105.3
Rural+Urban,2013,March,105.5
Rural+Urban,2013,April,106.1
Rural+Urban,2013,May,106.9
Rural+Urban,2013,June,109.3
Rural+Urban,2013,July,111
Rural+Urban,2013,August,112.4
Rural+Urban,2013,September,113.7
Rural+Urban,2013,October,114.8
Rural+Urban,2013,November,116.3
Rural+Urban,2013,December,114.5
Rural+Urban,2014,January,113.6
Rural+Urban,2014,February,113.6
Rural+Urban,2014,Marcrh,114.2
Rural+Urban,2014,April,115.1
Rural+Urban,2014,May,115.8
Rural+Urban,2014,June,116.7
Rural+Urban,2014,July,119.2
Rural+Urban,2014,August,120.3
Rural+Urban,2014,September,120.1
Rural+Urban,2014,October,120.1
Rural+Urban,2014,November,120.1
Rural+Urban,2014,December,119.4
Rural+Urban,2015,January,119.5
Rural+Urban,2015,February,119.7
Rural+Urban,2015,March,120.2
Rural+Urban,2015,April,120.7
Rural+Urban,2015,May,121.6
Rural+Urban,2015,June,123
Rural+Urban,2015,July,123.6
Rural+Urban,2015,August,124.8
Rural+Urban,2015,September,125.4
Rural+Urban,2015,October,126.1
Rural+Urban,2015,November,126.6
Rural+Urban,2015,December,126.1
Rural+Urban,2016,January,126.3
Rural+Urban,2016,February,126
Rural+Urban,2016,March,126
Rural+Urban,2016,April,127.3
Rural+Urban,2016,May,128.6
Rural+Urban,2016,June,130.1
Rural+Urban,2016,July,131.1
Rural+Urban,2016,August,131.1
Rural+Urban,2016,September,130.9
Rural+Urban,2016,October,131.4
Rural+Urban,2016,November,131.2
Rural+Urban,2016,December,130.4
Rural+Urban,2017,January,130.3
Rural+Urban,2017,February,130.6
Rural+Urban,2017,March,130.9
Rural+Urban,2017,April,131.1
Rural+Urban,2017,May,131.4
Rural+Urban,2017,June,132
Rural+Urban,2017,July,134.2
Rural+Urban,2017,August,135.4
Rural+Urban,2017,September,135.2
Rural+Urban,2017,October,136.1
Rural+Urban,2017,November,137.6
Rural+Urban,2017,December,137.2
Rural+Urban,2018,January,136.9
Rural+Urban,2018,February,136.4
Rural+Urban,2018,March,136.5
Rural+Urban,2018,April,137.1
Rural+Urban,2018,May,137.8
Rural+Urban,2018,June,138.5
Rural+Urban,2018,July,139.8
Rural+Urban,2018,August,140.4
Rural+Urban,2018,September,140.2
Rural+Urban,2018,October,140.8
Rural+Urban,2018,November,140.8
Rural+Urban,2018,December,140.1
Rural+Urban,2019,January,139.6
Rural+Urban,2019,February,139.9
Rural+Urban,2019,March,140.4
Rural+Urban,2019,May,142
Rural+Urban,2019,June,142.9
Rural+Urban,2019,July,144.2
Rural+Urban,2019,August,145
Rural+Urban,2019,September,145.8
Rural+Urban,2019,October,147.2
Rural+Urban,2019,November,148.6
Rural+Urban,2019,December,150.4
Rural+Urban,2020,January,150.2
Rural+Urban,2020,February,149.1
Rural+Urban,2020,March,148.6
Rural+Urban,2020,April,NA
Rural+Urban,2020,May,NA
Rural+Urban,2020,June,151.8
